Team,Player,TransferType,OtherClub,Fee_M_Euros,Position,Importance
Arsenal,Riccardo Calafiori,In,Bologna,45.0,Defender,0.14
Arsenal,Cristhian Mosquera,In,Valencia,30.0,Defender,0.12
Arsenal,Piero Hincapie,In,Bayer Leverkusen,50.0,Defender,0.14
Arsenal,Ezri Konsa,In,Aston Villa,45.0,Defender,0.14
Arsenal,Mikel Merino,In,Real Sociedad,32.0,Midfielder,0.12
Arsenal,Eberechi Eze,In,Crystal Palace,60.0,Midfielder,0.15
Arsenal,Martin Zubimendi,In,Real Sociedad,60.0,Midfielder,0.15
Arsenal,Bruno Guimaraes,In,Newcastle,85.0,Midfielder,0.16
Arsenal,Max Dowman,In,Arsenal Academy,0.0,Midfielder,0.06
Arsenal,Viktor Gyokeres,In,Sporting CP,75.0,Forward,0.16
Arsenal,Christos Tzolis,In,Club Brugge,25.0,Forward,0.1
Arsenal,Noni Madueke,In,Chelsea,45.0,Forward,0.12
Arsenal,Kepa Arrizabalaga,In,Bournemouth / Chelsea,5.0,Goalkeeper,0.08
Arsenal,Illan Meslier,In,Leeds,15.0,Goalkeeper,0.08
Arsenal,Thomas Partey,Out,Transferred,15.0,Midfielder,0.1
Arsenal,Jorginho,Out,Transferred,10.0,Midfielder,0.08
Arsenal,Raheem Sterling,Out,Chelsea (Loan Return),0.0,Forward,0.1
Arsenal,Gabriel Jesus,Out,Transferred,50.0,Forward,0.12
Arsenal,Leandro Trossard,Out,Transferred,35.0,Forward,0.12
Arsenal,Gabriel Martinelli,Out,Transferred,60.0,Forward,0.15
Arsenal,Emile Smith Rowe,Out,Fulham,34.0,Midfielder,0.08
Arsenal,Eddie Nketiah,Out,Crystal Palace,30.0,Forward,0.08
Arsenal,Aaron Ramsdale,Out,Southampton,21.0,Goalkeeper,0.08
Arsenal,Fabio Vieira,Out,Porto (Loan),0.0,Midfielder,0.06
Arsenal,Reiss Nelson,Out,Fulham (Loan),0.0,Forward,0.06
Arsenal,Albert Sambi Lokonga,Out,Sevilla (Loan),0.0,Midfielder,0.05
Arsenal,Mohamed Elneny,Out,Al Jazira (Free),0.0,Midfielder,0.04
Man City,Savinho,In,Troyes,40.0,Forward,0.12
Man City,Tijjani Reijnders,In,AC Milan,55.0,Midfielder,0.14
Man City,Claudio Echeverri,In,River Plate,18.0,Midfielder,0.08
Man City,Julian Alvarez,Out,Atletico Madrid,75.0,Forward,0.15
Man City,Joao Cancelo,Out,Al-Hilal,25.0,Defender,0.1
Liverpool,Martin Zubimendi,In,Real Sociedad,60.0,Midfielder,0.15
Liverpool,Giorgi Mamardashvili,In,Valencia,35.0,Goalkeeper,0.12
Liverpool,Federico Chiesa,In,Juventus,15.0,Forward,0.12
Liverpool,Fabio Carvalho,Out,Brentford,27.0,Midfielder,0.07
Liverpool,Sepp van den Berg,Out,Brentford,25.0,Defender,0.07
Chelsea,Pedro Neto,In,Wolves,60.0,Forward,0.15
Chelsea,Joao Felix,In,Atletico Madrid,52.0,Forward,0.14
Chelsea,Kiernan Dewsbury-Hall,In,Leicester,35.0,Midfielder,0.12
Chelsea,Conor Gallagher,Out,Atletico Madrid,42.0,Midfielder,0.15
Chelsea,Ian Maatsen,Out,Aston Villa,44.0,Defender,0.1
Chelsea,Romelu Lukaku,Out,Napoli,30.0,Forward,0.1
Man United,Leny Yoro,In,Lille,62.0,Defender,0.15
Man United,Manuel Ugarte,In,PSG,50.0,Midfielder,0.15
Man United,Matthijs de Ligt,In,Bayern Munich,45.0,Defender,0.14
Man United,Joshua Zirkzee,In,Bologna,42.0,Forward,0.14
