Team,Manager,AppointedDate
Arsenal,Mikel Arteta,2019-12-20
Aston Villa,Unai Emery,2022-11-01
Bournemouth,Marco Rose,2026-06-01
Brentford,Keith Andrews,2026-06-15
Brighton,Fabian Hürzeler,2024-06-15
Chelsea,Xabi Alonso,2026-06-01
Coventry,Frank Lampard,2026-07-01
Crystal Palace,Pierre Sage,2026-06-10
Everton,David Moyes,2026-05-15
Fulham,Álvaro Arbeloa,2026-06-05
Hull,Sergej Jakirović,2026-06-20
Ipswich,Gary O'Neil,2026-06-01
Leeds,Daniel Farke,2023-07-04
Liverpool,Andoni Iraola,2026-06-01
Man City,Enzo Maresca,2026-06-01
Man United,Michael Carrick,2026-05-22
Newcastle,Eddie Howe,2021-11-08
Nott'm Forest,Oliver Glasner,2024-02-19
Sunderland,Régis Le Bris,2024-06-22
Tottenham,Roberto De Zerbi,2026-06-01
